numeroTarjeta,numeroCuenta,moneda,saldo
30599209180723,AE10 0680 1961 6021 0855 618,Ruble,3.77
4175009004250066,CY06 4584 7189 MUJR SOVO NYCY 1NMU,Pula,3.36
4911464571668274,GB23 NHPD 9159 1643 2331 92,Ruble,4.11
4017951229733545,FR72 6103 7599 04BS HLJ9 AMZR Z54,Yuan Renminbi,6.89
3588573378507958,RO20 LRBR O9W8 W9FL 105L QHP3,Euro,3.85
4913468363172955,DK33 9763 5947 6745 42,Zloty,1.37
3571021533271341,BA74 1382 4082 7448 0331,Koruna,3.59
6763392783040129,BH07 XAEG 1SAM XRBJ TVUF GV,Peso,6.71
4913502293694942,FR38 6287 9015 26CT D0W0 U0FI L36,Peso,7.39
3548171732358538,DO09 UG3T 1967 0330 7339 6266 3537,Lari,4.79
5002358660617464,IT32 S021 4333 912R 7R5L EPUV CPP,Yuan Renminbi,5.02
3547706405328382,AT78 0820 3168 3492 1042,Euro,1.90
5010125413353089,FI55 7895 2883 5284 78,Euro,2.66
4041599605736952,FR95 7387 3848 76TZ YKDT MT4F Q95,Zloty,6.93
5893890693464987,DE69 8067 7455 4900 9370 48,Euro,7.62
348789266028546,DO82 M2XZ 9087 8200 0207 1416 6516,Euro,2.28
5100147276189310,SA31 66EO QBFK JWUW ZIHV JEI4,Ruble,3.28
6374974814199809,ME72 9950 5148 0352 3044 03,Euro,9.78
3578866277797213,FR20 0132 8827 88RY M0CO SHQJ A65,Peso,2.91
30270971175867,BA84 6298 0764 0188 6484,Yuan Renminbi,6.39
5401910390713810,AL66 9825 7689 NLIN 1U9B PMYT MCHA,Yuan Renminbi,0.33
5602242010473683,CR36 6715 4194 1100 4281 1,Real,2.77
5598741845347059,BG11 SVGN 3538 14XI ZL3K ZV,Rupiah,3.63
4917710164677393,GT66 B9O7 TL5Y 1OUR U52K SS7N LN88,Rupiah,6.98
30034382731688,MT97 LJQR 2058 9XLB HALR BH8C FEMF ZOL,Krone,7.53
201604173625530,RS36 7238 1889 5921 7016 68,Krona,1.93
348700148438456,MR46 0333 8217 5926 0942 5703 113,Real,3.26
3565505836155845,SI08 5696 5276 4566 812,Real,1.81
3552225764380589,MR91 5276 3707 9177 8190 7025 727,Kwanza,0.21
5305091277317186,FI88 0699 8351 6285 77,Yuan Renminbi,9.06
3569090594846709,SM48 I511 0857 616T N9M8 RLYP QW7,Hryvnia,9.15
5602246563450691,FR64 0498 2323 76TJ ODUJ XA1X F52,Dirham,2.14
560223529414041105,RS55 8817 3385 5117 2235 36,Pound,8.68
561081032196387613,SK23 8010 1812 4583 2058 9527,Rupiah,9.83
3578808974793764,GL06 9204 9256 4128 13,Yuan Renminbi,7.89
201947552723479,AL57 9765 0486 CHQE PLKK XCIY UWWZ,Dollar,1.07
3553270366452146,FR41 6491 0016 30ET BFEY NEGG J07,Yuan Renminbi,5.90
6759979570328020130,FR16 7057 3819 57ZP ZUT3 PIAG T69,Yuan Renminbi,7.90
3544969725337680,FR92 5957 8643 91UH CEUX OYBG I89,Hryvnia,5.87
67063795781150550,IS39 4975 9594 8754 9689 5271 43,Rupee,8.37
5048372184905483,IT97 X910 9529 8362 VVXM 90XC 0B2,Baht,4.40
3563291600606394,RO68 WSZR 0KK0 FRPP KGD9 A4II,Ruble,2.67
3552205395786834,FR41 4417 4829 09WM PUXK HURF E43,Hryvnia,0.12
3537512755625654,AT41 7161 6107 3903 0165,Afghani,4.71
4905257584649911,HR59 0057 7889 2782 2294 5,Denar,4.78
4026456288699263,SE18 4264 4417 8198 2357 2095,Cordoba,2.81
4041371965625,SI26 5770 8933 3974 294,Franc,8.96
3530523242595894,LB23 3437 RZXM 09RW K73U FFZG SBQP,Yuan Renminbi,9.45
3537935122376323,EE22 1599 8971 7503 6334,Euro,8.19
5002359017178242,IS46 6208 9424 0687 2995 5988 88,Krona,6.16
3585795108517451,FR57 7049 0907 1095 WRBW IXOP V11,Somoni,8.45
3548813926804641,BG43 MJRV 8169 28Y6 JZIP PW,Yuan Renminbi,6.37
201525515814609,FR72 0700 2763 185D OEJB NKVH T09,Hryvnia,6.98
4844748666888900,GB70 RPBK 7617 6060 9627 80,Lari,7.09
201886352112501,IT02 Y714 8598 3074 QVFO 1Q1O YHF,Won,9.26
3588964181376915,LT81 9590 6490 6681 1578,Dollar,7.49
3577764357087053,DO28 BBUC 6255 4627 2724 5225 7039,Guarani,4.08
30511618759278,EE59 0396 4431 0367 4149,Rial,0.00
4041370667834048,SK43 4107 4042 5719 9941 0746,Zloty,4.50
3558994511299103,NL83 OQSJ 8311 2968 91,Won,2.72
6334408619561938,PK97 CSSM M4EE QTNO WJZN XIRC,Peso,1.40
3559043520285692,BH94 WYSJ U7GE OH8C 5S7T EL,Euro,1.92
6761846235514934,BG60 FPXS 7320 30LR KNNY MQ,Dong,2.46
589387027755914106,FR80 7454 8122 90AV DXRK YWZG I44,Yuan Renminbi,0.22
5602224409760250,SK85 9465 3388 4406 6453 4594,Shilling,2.74
5602246019877711,CR54 0283 6223 4143 1630 1,Real,8.58
5541067567232214,AT17 6431 4867 7182 3169,Marka,6.68
201799043156508,HU45 7049 2726 0574 8366 8109 6512,Yuan Renminbi,8.03
5602210653516589,AL45 5818 3473 XRH6 TUDP NCFN XDQL,Leu,7.35
201500077072755,TN46 7898 2069 3382 0135 2235,Rupiah,9.23
5100136496888819,DE39 0915 4880 7013 9118 26,Peso,8.35
3567525226339625,PK02 COJE STFA ZDC9 KIVV MITX,Peso,6.47
5554341102938658,FR65 7649 4903 31KC VRX5 QAHN I68,Hryvnia,5.99
201714939771435,GR77 4579 947T F79Z QVRD R577 MMZ,Zloty,0.30
3584839884024364,SA11 22IC 0UUF 74V2 XZIJ IWSQ,Real,7.17
3545727145118869,BG09 VEMD 9142 9155 EJYQ L3,Yuan Renminbi,1.77
6761355495898961,PS18 NPAK RGJ8 3Z4W 7QNG KLRP NFTB L,Baht,6.05
677136470046641749,AL63 6815 7860 8QW1 GPHA BCZI IG2W,Yuan Renminbi,1.30
5429117065044947,GB53 APOB 1467 8198 5609 23,Peso,7.88
337941113882152,CZ63 0828 2848 2573 1918 2148,Peso,2.58
3544577115610580,NO92 5572 4163 788,Yuan Renminbi,0.90
3575950575068221,AD43 3064 3482 C4H5 HKAC ZQZD,Zloty,9.98
6761879031066522099,FR04 4822 1310 06KS RCHE LGXA E88,Ruble,3.87
5602215071409259,MK77 689S DBBJ OJXN R45,Rupiah,3.16
56022555640743950,SM82 A415 7780 789O 0NBH AQCM CKU,Franc,1.99
4175003049816684,NL89 UJXS 2050 5796 95,Euro,4.34
337941231628875,TR57 6036 1SGT 2DV0 NFE1 HMS9 BG,Yuan Renminbi,2.53
676352206592111292,MK77 443Z HESJ J4EK M07,Yuan Renminbi,1.86
4405977808174140,GE22 OC73 3490 3782 9883 62,Dong,4.81
201519181635489,TR68 4631 6MUL NWLW 2ZLZ NMBC XE,Euro,6.34
5586029848171518,BG43 MMKB 2380 66DL BBHA UY,Won,3.86
4508698458578465,TN42 3344 5326 4705 2953 1405,Peso,6.81
670912275111542861,AZ31 MHWQ CZV2 9CUC 4T76 8TXI UTTQ,Rand,3.63
3567867962426939,ES90 3382 3033 7057 2224 4667,Zloty,0.78
3542246417620075,CR58 2258 6692 5693 8529 8,Rupiah,0.20
3556108312486866,SM91 Y726 8850 696C YK7S ORJN UTS,Bolivar,4.89
3571960568847279,PL80 7510 8318 8019 2471 0389 2073,Euro,1.99
3530394905624847,MC02 1597 2216 58QW ZOTT KV2I L16,Euro,8.28
5641822331759960,ES27 7153 4986 3086 6012 7304,Ruble,8.12
